2013-04-16 05:44:51 1.36.69.29-1366062291 Log starts
2013-04-16 05:44:51 1.36.69.29-1366062291 CSV file: attachment/20130416054451.csv
2013-04-16 05:44:51 1.36.69.29-1366062291 XML file: attachment/20130416054451.xml
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'MAX_FILE_SIZE' [41943040]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'age_range' [3]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'agree1' [Y]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'anniversary_day' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'anniversary_month' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area1_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area1_2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area1_3' [97]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area1_7' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area2_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area2_2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area2_3' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area2_7' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area3_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area3_2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area3_3' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area3_7' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area4_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area4_2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area4_3' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'area4_7' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'automobiles_no' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_day' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_month' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_month_kid1' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_month_kid2' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_month_kid3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_year_kid1' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_year_kid2' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birth_year_kid3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birthday_day' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'birthday_month' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'by_post' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'by_sms' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'by_telephone' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'c_name' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city1_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city1_2' [29]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city1_3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city2_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city2_2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city2_3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city3_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city3_2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city3_3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city4_1' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city4_2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'city4_3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'country1' [2]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'country2' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'country3' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'country4' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'email' [Lam_wesley@hotmail.com]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'f_name' [Lam]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'flat_d1' [H]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'flat_d2' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'flat_d3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'floor_d1' [10]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'floor_d2' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'floor_d3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'g_name' [Wesley Sze Chun]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'home' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'lang' [html]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'marriage' [2]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'membership_name' [Lam Wesley Sze Chun]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'membership_type' [2]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'mobile' [96584707]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'office' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'option140' [Y]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'option141' [Y]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'option142' [Y]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'option143' [Y]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'option150' [Y]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'option200' [Y]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'option221' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'postal1' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'postal3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'property_d1' [Riviera Gardens]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'property_d2' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'property_d3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'purchased_rented_d1' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'residential_address' [Flat H, 10/F, Block 17, Riviera Gardens, 2-12 Yi Lok Street]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'salutation' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'spoken_language' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_age_range' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_birth_day' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_birth_month' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_email' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_membership_name' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_mobile' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_name' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_relationship' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_residential_address' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_salutation' [0]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_spoken_language' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'supple_written_language' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'tower_d1' [17]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'tower_d2' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'tower_d3' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'txtTRLastIndex' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'txtTRLastIndex1' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'written_language' [1]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'year_d1' [2011]
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'year_d2' []
2013-04-16 05:44:51 1.36.69.29-1366062291 Data 'year_d3' []
2013-04-16 12:34:32 218.102.195.141-1366086872 Log starts
2013-04-16 12:34:32 218.102.195.141-1366086872 CSV file: attachment/20130416123432.csv
2013-04-16 12:34:32 218.102.195.141-1366086872 XML file: attachment/20130416123432.xml
2013-04-16 12:34:32 218.102.195.141-1366086872 Data 'MAX_FILE_SIZE' [41943040]
2013-04-16 12:34:32 218.102.195.141-1366086872 Data 'age_range' [2]
2013-04-16 12:34:32 218.102.195.141-1366086872 Data 'agree1' [Y]
